30,69,35
31,69,61
32,70,36
33,70,62
34,71,37
35,71,63
36,72,38
37,72,64
38,73,39
39,73,65
40,74,40
41,74,66
42,75,41
43,75,67
44,76,42
45,76,68
46,77,33
47,77,59
48,78,34
49,78,60
50,79,69
51,79,25
52,79,43
53,79,51
54,80,70
55,80,26
56,80,44
57,80,52
58,81,71
59,81,27
60,81,45
61,81,53
62,82,72
63,82,28
64,82,46
65,82,54
66,83,73
67,83,29
68,83,47
69,83,55
70,84,74
71,84,30
72,84,48
73,84,56
74,85,75
75,85,31
76,85,49
77,85,57
78,86,76
79,86,32
80,86,50
81,86,58
82,87,32
83,87,31
84,87,29
85,87,28
86,88,42
87,88,41
88,88,39
89,88,38
90,89,50
91,89,49
92,89,47
93,89,46
94,90,58
95,90,57
96,90,55
97,90,54
98,91,68
100,91,67
101,91,65
102,91,64
103,92,76
104,92,75
105,92,73
106,92,72
107,93,86
108,93,85
109,93,83
110,93,82
111,93,78
112,94,81
113,94,80
115,94,77
116,95,94
117,95,93
118,96,95
119,96,84
120,96,79
122,97,49
123,97,39
124,97,47
125,97,75
126,97,72
127,1,96
128,99,95
129,100,93
130,100,84
131,101,92
132,102,86
133,102,85
136,103,85
137,103,82
138,103,80
139,103,77
140,103,89
141,103,91
143,103,63
144,103,45
145,103,61
146,103,43
