720,98,25,t
721,97,26,t
732,95,30,t
733,104,30,t
734,100,31,t
735,103,31,t
736,102,31,t
752,241,37,t
753,44,37,t
754,46,37,t
755,126,37,t
756,91,37,t
757,137,37,t
758,45,37,t
801,3,40,t
802,231,40,t
803,4,40,t
804,51,40,t
805,90,40,t
806,52,40,t
807,53,40,t
808,127,40,t
809,54,40,t
822,10,41,t
823,11,41,t
824,12,41,t
825,13,41,t
826,14,41,t
827,15,41,t
828,73,41,t
829,74,41,t
722,93,27,t
723,94,28,t
724,110,28,t
725,233,28,t
726,109,28,t
739,146,33,t
745,242,36,t
746,47,36,t
747,48,36,t
748,132,36,t
749,49,36,t
750,50,36,t
751,142,36,t
759,1,38,t
760,2,38,t
761,232,38,t
762,17,38,t
763,18,38,t
764,19,38,t
765,20,38,t
766,136,38,t
767,21,38,t
768,22,38,t
769,139,38,t
770,23,38,t
791,141,39,t
792,61,39,t
793,64,39,t
794,65,39,t
795,66,39,t
796,131,39,t
797,35,39,t
798,36,39,t
799,63,39,t
800,158,39,t
810,140,40,t
811,55,40,t
812,57,40,t
813,128,40,t
814,32,40,t
815,33,40,t
816,31,40,t
817,56,40,t
818,157,40,t
819,153,40,t
820,151,40,t
821,156,40,t
831,135,41,t
832,76,41,t
833,83,41,t
834,77,41,t
835,92,41,t
836,78,41,t
837,79,41,t
838,80,41,t
839,147,41,t
840,81,41,t
841,82,41,t
842,84,41,t
853,8,42,t
854,9,42,t
855,67,42,t
856,68,42,t
857,69,42,t
858,133,42,t
859,70,42,t
860,145,42,t
861,71,42,t
862,134,42,t
863,29,42,t
864,30,42,t
865,28,42,t
866,72,42,t
867,155,42,t
868,154,42,t
869,179,44,t
870,161,45,t
871,207,46,t
872,167,46,t
873,206,46,t
874,205,46,t
876,166,46,t
877,165,46,t
878,164,46,t
879,178,47,t
880,177,47,t
881,176,47,t
882,175,47,t
883,174,47,t
884,173,47,t
885,215,47,t
886,214,47,t
887,213,47,t
888,212,47,t
889,211,47,t
898,195,49,t
899,194,49,t
900,193,49,t
901,192,49,t
902,226,49,t
903,225,49,t
904,224,49,t
727,108,28,t
740,138,34,t
742,144,35,t
743,143,35,t
771,24,38,t
772,25,38,t
773,26,38,t
774,16,38,t
775,42,38,t
776,43,38,t
777,41,38,t
778,160,38,t
779,159,38,t
830,75,41,t
890,200,48,t
891,201,48,t
892,171,48,t
905,223,49,t
906,221,49,t
907,191,49,t
908,189,49,t
909,184,50,t
910,183,50,t
911,182,50,t
912,181,50,t
913,219,50,t
914,218,50,t
915,217,50,t
916,122,51,t
917,240,51,t
922,112,54,t
923,118,54,t
924,114,55,t
925,120,55,t
936,199,62,t
937,198,62,t
946,172,66,t
947,234,66,t
948,209,66,t
949,169,66,t
952,220,67,t
953,188,67,t
954,190,67,t
955,222,67,t
966,87,97,f
974,74,97,f
975,75,97,f
977,78,97,f
988,76,97,f
989,18,97,f
990,19,97,f
991,58,97,f
992,59,97,f
995,212,97,f
996,213,97,f
997,214,97,f
998,175,97,f
999,176,97,f
1000,177,97,f
1009,38,97,f
1010,244,97,f
1011,40,97,f
1012,37,97,f
1015,247,39,t
1017,248,42,t
1021,247,97,f
1023,35,97,f
728,96,29,t
729,106,29,t
730,105,29,t
731,107,29,t
737,99,32,t
738,101,32,t
744,243,35,t
780,5,39,t
781,6,39,t
782,230,39,t
783,7,39,t
784,58,39,t
785,59,39,t
786,130,39,t
787,129,39,t
788,38,39,t
789,62,39,t
790,60,39,t
843,85,41,t
844,86,41,t
845,87,41,t
846,88,41,t
847,89,41,t
848,27,41,t
849,152,41,t
850,150,41,t
851,148,41,t
852,149,41,t
875,204,46,t
893,170,48,t
894,228,48,t
895,229,48,t
896,210,48,t
897,168,48,t
918,115,52,t
919,121,52,t
920,111,53,t
921,125,53,t
926,113,56,t
927,119,56,t
928,117,57,t
929,124,57,t
930,116,58,t
931,123,58,t
932,185,59,t
933,186,59,t
934,187,59,t
935,162,60,t
938,197,63,t
939,203,64,t
940,202,64,t
941,163,64,t
942,34,65,t
945,39,65,t
950,196,67,t
951,227,67,t
956,216,68,t
957,180,68,t
958,40,39,t
959,37,39,t
967,224,97,f
968,225,97,f
969,226,97,f
970,193,97,f
971,194,97,f
972,195,97,f
973,188,97,t
976,81,97,f
978,92,97,t
979,14,97,t
981,84,97,f
982,85,97,f
983,86,97,f
984,88,97,t
985,192,97,f
986,15,97,f
987,89,97,f
994,65,97,f
1001,24,97,f
1003,39,97,t
1004,25,97,t
1008,244,39,t
1014,131,97,t
1016,246,40,t
1018,245,38,t
1022,36,97,f
1024,249,41,t
