1,Root,f,f
97,Operator L1,f,f
25,Tenants Creator,t,t
26,Roles Creator,t,t
27,Administrators Creator,t,t
28,Images Creator,t,t
29,OSFs Creator,t,t
30,Nodes Creator,t,t
31,VMs Creator,t,t
32,Users Creator,t,t
33,Views Reader,t,t
34,Configuration Reader,t,t
35,Tenants Reader,t,t
36,Roles Reader,t,t
37,Administrators Reader,t,t
38,Images Reader,t,t
39,OSFs Reader,t,t
40,Nodes Reader,t,t
41,VMs Reader,t,t
42,Users Reader,t,t
43,Tenants Updater,t,t
44,Roles Updater,t,t
45,Administrators Updater,t,t
46,Images Updater,t,t
47,OSFs Updater,t,t
48,Nodes Updater,t,t
49,VMs Updater,t,t
50,Users Updater,t,t
51,Tenants Eraser,t,t
52,Roles Eraser,t,t
53,Administrators Eraser,t,t
54,Images Eraser,t,t
55,OSFs Eraser,t,t
56,Nodes Eraser,t,t
57,VMs Eraser,t,t
100,Root QVD,f,f
103,Operator L2,f,f
58,Users Eraser,t,t
59,Views Performer,t,t
60,Configuration Performer,t,t
61,Tenants Performer,t,t
62,Roles Performer,t,t
63,Administrators Performer,t,t
64,Images Performer,t,t
65,OSFs Performer,t,t
66,Nodes Performer,t,t
67,VMs Performer,t,t
68,Users Performer,t,t
69,Tenants Operator,t,t
70,Roles Operator,t,t
71,Administrators Operator,t,t
72,Images Operator,t,t
73,OSFs Operator,t,t
74,Nodes Operator,t,t
75,VMs Operator,t,t
76,Users Operator,t,t
77,Views Manager,t,t
78,Configuration Manager,t,t
79,Tenants Manager,t,t
80,Roles Manager,t,t
81,Administrators Manager,t,t
82,Images Manager,t,t
83,OSFs Manager,t,t
84,Nodes Manager,t,t
85,VMs Manager,t,t
86,Users Manager,t,t
87,QVD Creator,t,t
88,QVD Reader,t,t
89,QVD Updater,t,t
90,QVD Eraser,t,t
91,QVD Performer,t,t
92,QVD Operator,t,t
93,QVD Manager,t,t
94,WAT Manager,t,t
95,Master,t,t
96,Total Master,t,t
101,Operator QVD,f,f
102,Root VMs,f,f
99,Root Tenant,f,f
